State_ebay,State_amaz,,ebay,amaz,lat,long
Virginia,Massachusetts,734,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Massachusetts,735,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,New Jersey,735,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Maryland,736,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,California,737,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Virginia,North Carolina,737,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New York,Colorado,739,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Massachusetts,New Jersey,739,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Massachusetts,742,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Massachusetts,743,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,California,744,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Connecticut,745,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Georgia,745,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,New York,745,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Florida,746,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Hawaii,Alabama,748,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Colorado,748,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Hawaii,750,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Hawaii,753,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Delaware,754,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,New York,754,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,California,756,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Pennsylvania,756,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Connecticut,758,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Georgia,Hawaii,758,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Nevada,758,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Pennsylvania,759,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Massachusetts,761,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Alabama,762,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
California,Virginia,762,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Delaware,Colorado,763,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Maryland,763,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Alabama,766,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,California,771,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Illinois,771,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Colorado,772,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Pennsylvania,774,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Alabama,777,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Florida,779,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Arizona,781,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Colorado,782,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Hawaii,782,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Florida,784,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
South Carolina,New Jersey,785,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Colorado,786,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,New York,789,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Delaware,Alabama,790,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Connecticut,790,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Illinois,792,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New Jersey,Arizona,793,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,New Jersey,793,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,California,794,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Georgia,California,794,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,California,794,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Georgia,794,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,New Jersey,794,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,New York,794,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,Delaware,795,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Michigan,California,797,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Maryland,797,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Virginia,797,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Washington,New York,798,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Hawaii,Pennsylvania,799,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Virginia,799,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,California,800,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Massachusetts,Michigan,802,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Alabama,804,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,California,804,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Connecticut,805,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Minnesota,806,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Maryland,807,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Illinois,809,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Virginia,809,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Hawaii,810,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,North Carolina,810,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
South Carolina,California,812,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Massachusetts,813,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,New Jersey,814,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Colorado,Washington,815,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Massachusetts,Nevada,818,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,New York,818,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,North Carolina,819,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Connecticut,820,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Florida,823,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Arizona,825,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
North Carolina,Pennsylvania,825,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Colorado,826,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Connecticut,826,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Hawaii,Illinois,826,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Connecticut,828,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Nevada,829,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Nevada,830,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Virginia,830,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Alabama,831,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Alabama,832,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Colorado,832,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,New Jersey,832,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Arizona,834,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,California,834,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Georgia,835,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,California,837,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,New York,837,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Pennsylvania,838,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Virginia,838,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Colorado,839,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Michigan,840,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Connecticut,842,"n	e	g	a	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Florida,842,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Nevada,842,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,New Jersey,844,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Colorado,846,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Delaware,847,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Colorado,849,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,New York,849,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Virginia,849,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Virginia,852,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Alabama,854,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,Pennsylvania,854,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Kansas,Florida,855,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Pennsylvania,855,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Washington,858,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,California,860,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,North Carolina,860,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Washington,860,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,New York,861,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Delaware,864,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Minnesota,864,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Pennsylvania,864,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Michigan,865,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Minnesota,865,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,New Jersey,870,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Georgia,871,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,New Jersey,871,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,North Carolina,873,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,New Jersey,874,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,California,877,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Minnesota,877,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Massachusetts,878,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Nevada,878,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Arizona,880,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New Jersey,North Carolina,880,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Virginia,California,882,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Massachusetts,882,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New Jersey,Nevada,882,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Colorado,Georgia,884,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Georgia,884,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,New York,884,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,New York,884,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Alabama,885,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Massachusetts,886,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Virginia,889,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Colorado,891,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Virginia,891,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Delaware,895,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Maryland,Michigan,896,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Alabama,897,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,New Jersey,897,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,New York,897,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,North Carolina,897,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Nevada,898,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,California,899,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Virginia,899,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Alabama,900,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Alabama,900,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Pennsylvania,900,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Minnesota,905,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
South Carolina,New York,908,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,New York,910,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Michigan,Connecticut,913,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Maryland,913,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Nevada,913,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,California,914,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Connecticut,915,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Nevada,916,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Connecticut,917,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,New Jersey,919,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,South Carolina,919,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,California,920,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Maryland,920,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Maryland,921,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,New York,921,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Colorado,924,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Massachusetts,926,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Maryland,927,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Alabama,928,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Pennsylvania,929,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Florida,930,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Pennsylvania,930,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Arizona,931,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,Georgia,931,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,New York,932,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Washington,932,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Colorado,933,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Connecticut,933,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Alabama,936,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Washington,940,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,California,943,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,California,943,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Georgia,944,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,New Jersey,944,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,California,947,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Maryland,950,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Connecticut,New York,951,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Maryland,952,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Nevada,952,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,New York,953,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Virginia,953,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,California,957,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Connecticut,958,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,New York,961,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Nevada,964,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Pennsylvania,New York,964,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Hawaii,969,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Minnesota,969,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,Colorado,970,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,North Carolina,971,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New Jersey,North Carolina,973,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,Arizona,975,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,New York,975,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Florida,977,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,Georgia,977,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Maryland,977,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Georgia,979,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,California,980,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Virginia,Illinois,980,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
California,South Carolina,982,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,California,983,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Florida,Colorado,983,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,New Jersey,983,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
New York,Minnesota,984,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Georgia,986,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,South Carolina,986,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Pennsylvania,987,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Delaware,California,988,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Georgia,989,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Georgia,989,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Georgia,989,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Connecticut,991,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Michigan,992,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,New Jersey,994,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Hawaii,995,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Virginia,995,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Arizona,997,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Alabama,Florida,997,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,New Jersey,997,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Colorado,998,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Maryland,998,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Nevada,998,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Nevada,998,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,Maryland,1001,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,California,1002,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,California,1003,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
North Carolina,New York,1003,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Hawaii,Florida,1005,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Georgia,1006,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Illinois,New York,1006,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Colorado,1011,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Nevada,1013,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Virginia,1014,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
North Carolina,Illinois,1017,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,New York,1017,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Michigan,1019,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,New York,1020,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,Virginia,1021,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Arizona,1022,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Colorado,California,1022,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,Georgia,1023,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Illinois,1024,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,North Carolina,1025,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Colorado,Illinois,1026,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,New York,1027,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Washington,1027,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,Colorado,1030,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Florida,1030,"p	o	s	i	t	i	v	e","n	e	g	a	t	i	v	e",,
Alabama,Colorado,1032,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New York,Georgia,1033,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Georgia,1038,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Minnesota,1040,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
California,Delaware,1041,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Alabama,1042,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Nevada,1043,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Georgia,Maryland,1045,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Massachusetts,Florida,1047,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Pennsylvania,New Jersey,1047,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Florida,Hawaii,1048,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Minnesota,1048,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Maryland,New Jersey,1048,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Washington,California,1049,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Minnesota,Massachusetts,1049,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Arizona,Massachusetts,1054,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
North Carolina,New Jersey,1056,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Alabama,Michigan,1057,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Connecticut,Washington,1058,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
New Jersey,Illinois,1059,"n	e	g	a	t	i	v	e","p	o	s	i	t	i	v	e",,
Hawaii,California,1061,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
Nevada,California,1061,"p	o	s	i	t	i	v	e","p	o	s	i	t	i	v	e",,
